,wavelength,TranDep,sigma_p,sigma_m
167,0.6706,0.0145618,0.00040419999999999996,-0.00040419999999999996
168,0.67103,0.014813400000000001,0.0004016,-0.0004016
169,0.67146,0.0142558,0.000448,-0.000448
170,0.67189,0.0145116,0.00043220000000000004,-0.00043220000000000004
171,0.67233,0.0144438,0.0004097,-0.0004097
172,0.67276,0.0132564,0.0004187,-0.0004187
173,0.67319,0.0148369,0.0004054,-0.0004054
174,0.67362,0.014227000000000002,0.0003914,-0.0003914
175,0.67405,0.0149339,0.0004326,-0.0004326
176,0.67448,0.0143211,0.00041480000000000005,-0.00041480000000000005
177,0.67491,0.014549000000000001,0.00042540000000000004,-0.00042540000000000004
178,0.67535,0.0152891,0.00041930000000000005,-0.00041930000000000005
179,0.67578,0.0151848,0.00043020000000000005,-0.00043020000000000005
180,0.67621,0.0134947,0.0004158,-0.0004158
181,0.67664,0.014216200000000002,0.0003914,-0.0003914
182,0.67707,0.014648099999999999,0.0003922,-0.0003922
183,0.67751,0.0143201,0.0004011,-0.0004011
184,0.67794,0.014488399999999999,0.00042750000000000004,-0.00042750000000000004
185,0.67837,0.0143797,0.0004201,-0.0004201
186,0.6788,0.015181500000000002,0.00043420000000000004,-0.00043420000000000004
187,0.67924,0.013772500000000002,0.0004286,-0.0004286
188,0.67967,0.0148001,0.0004194,-0.0004194
189,0.6801,0.014821200000000001,0.0004023,-0.0004023
190,0.68054,0.014883200000000001,0.0004257,-0.0004257
191,0.68097,0.014609700000000002,0.0003952,-0.0003952
192,0.6814,0.014351000000000001,0.00039890000000000005,-0.00039890000000000005
193,0.68184,0.0145029,0.00038330000000000005,-0.00038330000000000005
194,0.68227,0.0145807,0.00043200000000000004,-0.00043200000000000004
195,0.6827,0.014559899999999999,0.0003997,-0.0003997
196,0.68314,0.0143977,0.00039620000000000004,-0.00039620000000000004
197,0.68357,0.0146952,0.00036260000000000003,-0.00036260000000000003
198,0.68401,0.014838800000000001,0.0004119,-0.0004119
199,0.68444,0.014821800000000001,0.0004126,-0.0004126
200,0.68487,0.0136786,0.0003996,-0.0003996
201,0.68531,0.014861599999999999,0.00039260000000000006,-0.00039260000000000006
202,0.68574,0.0153964,0.0004091,-0.0004091
203,0.68618,0.014817499999999999,0.00041390000000000003,-0.00041390000000000003
204,0.68661,0.0146265,0.0003723,-0.0003723
205,0.68705,0.0143975,0.00040820000000000006,-0.00040820000000000006
206,0.68748,0.015188,0.00043319999999999996,-0.00043319999999999996
207,0.68792,0.014301900000000001,0.00038649999999999996,-0.00038649999999999996
208,0.68835,0.014519500000000001,0.0004049,-0.0004049
209,0.68879,0.0146257,0.0003352,-0.0003352
210,0.68922,0.0139031,0.00038350000000000005,-0.00038350000000000005
211,0.68966,0.0141154,0.00039309999999999996,-0.00039309999999999996
212,0.69009,0.0145696,0.00040750000000000004,-0.00040750000000000004
213,0.69053,0.0144215,0.000368,-0.000368
214,0.69097,0.014617500000000002,0.0003967,-0.0003967
215,0.6914,0.0150699,0.00040689999999999997,-0.00040689999999999997
216,0.69184,0.0139119,0.0003832,-0.0003832
217,0.69227,0.014209099999999999,0.00035749999999999996,-0.00035749999999999996
218,0.69271,0.0146014,0.0004101,-0.0004101
219,0.69315,0.0151758,0.0003997,-0.0003997
220,0.69358,0.0143413,0.0003816,-0.0003816
221,0.69402,0.014823,0.00038260000000000003,-0.00038260000000000003
222,0.69446,0.0142139,0.000356,-0.000356
223,0.69489,0.0145779,0.0003612,-0.0003612
224,0.69533,0.014755400000000002,0.0004072,-0.0004072
225,0.69577,0.0144516,0.0003981,-0.0003981
226,0.6962,0.013655600000000002,0.0004196,-0.0004196
227,0.69664,0.0145754,0.00038100000000000005,-0.00038100000000000005
228,0.69708,0.015165,0.0003867,-0.0003867
229,0.69752,0.014623200000000001,0.00036940000000000003,-0.00036940000000000003
230,0.69795,0.0144001,0.0003566,-0.0003566
231,0.69839,0.0149684,0.000388,-0.000388
232,0.69883,0.0145039,0.00038019999999999997,-0.00038019999999999997
233,0.69927,0.014361299999999999,0.00036060000000000004,-0.00036060000000000004
234,0.69971,0.0137285,0.0003806,-0.0003806
235,0.70014,0.0138845,0.0003882,-0.0003882
236,0.70058,0.013864600000000001,0.0003655,-0.0003655
237,0.70102,0.0147841,0.0004034,-0.0004034
238,0.70146,0.013828499999999999,0.00036920000000000003,-0.00036920000000000003
239,0.7019,0.014384300000000001,0.0003693,-0.0003693
240,0.70234,0.015212300000000002,0.0003591,-0.0003591
241,0.70277,0.0153642,0.00039820000000000003,-0.00039820000000000003
242,0.70321,0.0145736,0.00038530000000000004,-0.00038530000000000004
243,0.70365,0.015043299999999999,0.00039759999999999996,-0.00039759999999999996
244,0.70409,0.014268099999999999,0.0003753,-0.0003753
245,0.70453,0.014751799999999999,0.0003817,-0.0003817
246,0.70497,0.0142367,0.00040300000000000004,-0.00040300000000000004
247,0.70541,0.0140411,0.0003445,-0.0003445
248,0.70585,0.014341699999999999,0.0003684,-0.0003684
249,0.70629,0.0142182,0.0003924,-0.0003924
250,0.70673,0.014278200000000001,0.0003605,-0.0003605
251,0.70717,0.0145814,0.0003585,-0.0003585
252,0.70761,0.0139571,0.0003392,-0.0003392
253,0.70805,0.0138648,0.0003773,-0.0003773
254,0.70849,0.0140269,0.0003932,-0.0003932
255,0.70893,0.0139888,0.0003587,-0.0003587
256,0.70937,0.0146725,0.0003703,-0.0003703
257,0.70981,0.0152188,0.0003684,-0.0003684
258,0.71025,0.0155037,0.00037240000000000005,-0.00037240000000000005
259,0.71069,0.0148227,0.0003998,-0.0003998
260,0.71113,0.0142561,0.00038980000000000004,-0.00038980000000000004
261,0.71157,0.014811399999999999,0.0003721,-0.0003721
262,0.71201,0.0149535,0.0003616,-0.0003616
263,0.71245,0.0142794,0.0004058,-0.0004058
264,0.7129,0.014984800000000001,0.0004045,-0.0004045
265,0.71334,0.0146719,0.0003857,-0.0003857
266,0.71378,0.0141521,0.0003793,-0.0003793
267,0.71422,0.014636800000000002,0.00039129999999999997,-0.00039129999999999997
268,0.71466,0.0147472,0.0003703,-0.0003703
269,0.7151,0.0145947,0.00036179999999999996,-0.00036179999999999996
270,0.71555,0.0150684,0.00038879999999999996,-0.00038879999999999996
271,0.71599,0.014888600000000002,0.0003798,-0.0003798
272,0.71643,0.015571699999999999,0.0003682,-0.0003682
273,0.71687,0.0146003,0.0003469,-0.0003469
274,0.71731,0.014122200000000001,0.0003524,-0.0003524
275,0.71776,0.0143912,0.00037,-0.00037
276,0.7182,0.0148628,0.0004085,-0.0004085
277,0.71864,0.0149954,0.0003548,-0.0003548
278,0.71908,0.0149827,0.0003774,-0.0003774
279,0.71953,0.014882200000000002,0.000366,-0.000366
280,0.71997,0.0141971,0.0004047,-0.0004047
281,0.72041,0.0145773,0.0003791,-0.0003791
282,0.72086,0.014651700000000002,0.0003799,-0.0003799
283,0.7213,0.015112200000000001,0.0003682,-0.0003682
284,0.72174,0.0140824,0.00038600000000000006,-0.00038600000000000006
285,0.72219,0.0145587,0.00038600000000000006,-0.00038600000000000006
286,0.72263,0.015090600000000001,0.0003866,-0.0003866
287,0.72307,0.014071400000000001,0.0004189,-0.0004189
288,0.72352,0.014189,0.00038469999999999997,-0.00038469999999999997
289,0.72396,0.014504,0.000364,-0.000364
290,0.7244,0.013990800000000001,0.0003597,-0.0003597
291,0.72485,0.014197900000000001,0.00037420000000000004,-0.00037420000000000004
292,0.72529,0.014500200000000001,0.00037830000000000003,-0.00037830000000000003
293,0.72574,0.0144529,0.0003907,-0.0003907
294,0.72618,0.014131000000000001,0.000349,-0.000349
295,0.72662,0.014133199999999999,0.00036720000000000004,-0.00036720000000000004
296,0.72707,0.014288200000000001,0.0003924,-0.0003924
297,0.72751,0.014962200000000002,0.00039840000000000003,-0.00039840000000000003
298,0.72796,0.014472400000000002,0.0003609,-0.0003609
299,0.7284,0.0148295,0.00039370000000000003,-0.00039370000000000003
300,0.72885,0.0137069,0.0003657,-0.0003657
301,0.72929,0.014094899999999999,0.0003837,-0.0003837
302,0.72974,0.0151137,0.0003415,-0.0003415
303,0.73018,0.0150089,0.0004051,-0.0004051
304,0.73063,0.0151589,0.0003741,-0.0003741
305,0.73107,0.014339,0.0003435,-0.0003435
306,0.73152,0.0147193,0.00034209999999999997,-0.00034209999999999997
307,0.73196,0.0140835,0.0003537,-0.0003537
308,0.73241,0.014938700000000001,0.00038019999999999997,-0.00038019999999999997
309,0.73286,0.0144133,0.0003927,-0.0003927
310,0.7333,0.0145122,0.0003585,-0.0003585
311,0.73375,0.0146499,0.0004134,-0.0004134
312,0.73419,0.0141469,0.0003446,-0.0003446
313,0.73464,0.014890200000000001,0.00037580000000000003,-0.00037580000000000003
314,0.73509,0.014407399999999999,0.0003751,-0.0003751
315,0.73553,0.0141127,0.0003798,-0.0003798
316,0.73598,0.0146058,0.0003863,-0.0003863
317,0.73643,0.014649,0.0003394,-0.0003394
318,0.73687,0.014659,0.0003597,-0.0003597
319,0.73732,0.0142703,0.00037769999999999997,-0.00037769999999999997
320,0.73777,0.0152411,0.00038350000000000005,-0.00038350000000000005
321,0.73821,0.014468000000000002,0.0003703,-0.0003703
322,0.73866,0.0143044,0.000385,-0.000385
323,0.73911,0.0144052,0.0003932,-0.0003932
324,0.73955,0.0137553,0.00040710000000000003,-0.00040710000000000003
325,0.74,0.013215900000000001,0.00037039999999999995,-0.00037039999999999995
326,0.74045,0.0145903,0.0003706,-0.0003706
327,0.7409,0.014075,0.0004053,-0.0004053
328,0.74134,0.013976299999999999,0.0003942,-0.0003942
329,0.74179,0.014173100000000001,0.00036970000000000004,-0.00036970000000000004
330,0.74224,0.0138581,0.00035880000000000005,-0.00035880000000000005
331,0.74269,0.014830600000000001,0.0003905,-0.0003905
332,0.74314,0.0137731,0.0003533,-0.0003533
333,0.74358,0.0145917,0.0003658,-0.0003658
334,0.74403,0.014081999999999999,0.00036740000000000004,-0.00036740000000000004
335,0.74448,0.0137299,0.00039559999999999997,-0.00039559999999999997
336,0.74493,0.0145503,0.0003905,-0.0003905
337,0.74538,0.0138117,0.00038980000000000004,-0.00038980000000000004
338,0.74582,0.0148733,0.00041380000000000003,-0.00041380000000000003
339,0.74627,0.0147778,0.0003793,-0.0003793
340,0.74672,0.014787699999999999,0.0003852,-0.0003852
341,0.74717,0.014234100000000001,0.0003744,-0.0003744
342,0.74762,0.0145627,0.0004187,-0.0004187
343,0.74807,0.014528000000000001,0.0003698,-0.0003698
344,0.74852,0.014007,0.00042479999999999997,-0.00042479999999999997
345,0.74897,0.0144981,0.00039370000000000003,-0.00039370000000000003
346,0.74942,0.0149332,0.0003983,-0.0003983
347,0.74987,0.013707800000000001,0.00036560000000000005,-0.00036560000000000005
348,0.75032,0.0146111,0.00037600000000000003,-0.00037600000000000003
349,0.75076,0.0139687,0.00037220000000000005,-0.00037220000000000005
350,0.75121,0.0138829,0.00038300000000000004,-0.00038300000000000004
351,0.75166,0.0140032,0.00037900000000000005,-0.00037900000000000005
352,0.75211,0.014627399999999999,0.00035700000000000006,-0.00035700000000000006
353,0.75256,0.0136815,0.0004039,-0.0004039
354,0.75301,0.0140983,0.0003945,-0.0003945
355,0.75346,0.014210799999999999,0.0003752,-0.0003752
356,0.75391,0.0144648,0.00038030000000000003,-0.00038030000000000003
357,0.75436,0.0145634,0.0004038,-0.0004038
358,0.75482,0.0146203,0.0003879,-0.0003879
359,0.75527,0.0142204,0.0003728,-0.0003728
360,0.75572,0.0138577,0.00040710000000000003,-0.00040710000000000003
361,0.75617,0.013991,0.00040090000000000004,-0.00040090000000000004
362,0.75662,0.0144659,0.00038350000000000005,-0.00038350000000000005
363,0.75707,0.014946500000000001,0.0003664,-0.0003664
364,0.75752,0.0144932,0.00038960000000000004,-0.00038960000000000004
365,0.75797,0.014760899999999999,0.0003844,-0.0003844
366,0.75842,0.014548000000000002,0.0003866,-0.0003866
367,0.75887,0.0145321,0.00038350000000000005,-0.00038350000000000005
368,0.75932,0.014098,0.0003868,-0.0003868
369,0.75978,0.014609700000000002,0.00037190000000000004,-0.00037190000000000004
370,0.76023,0.014626600000000002,0.00039579999999999997,-0.00039579999999999997
371,0.76068,0.0143092,0.0003893,-0.0003893
372,0.76113,0.0137465,0.00036409999999999996,-0.00036409999999999996
373,0.76158,0.0151399,0.0004179,-0.0004179
374,0.76203,0.0151494,0.0004008,-0.0004008
375,0.76249,0.0144827,0.0003771,-0.0003771
376,0.76294,0.0147908,0.0004065,-0.0004065
377,0.76339,0.0150565,0.0003755,-0.0003755
378,0.76384,0.015079400000000001,0.0004126,-0.0004126
379,0.76429,0.0142452,0.00039890000000000005,-0.00039890000000000005
380,0.76475,0.014250400000000002,0.0003764,-0.0003764
381,0.7652,0.0147538,0.0003232,-0.0003232
382,0.76565,0.0144006,0.0004074,-0.0004074
383,0.7661,0.0148438,0.0004393,-0.0004393
